Election_Id,State,State_Code,Constituency_No,Constituency_Key,Constituency_Name,SN,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Timestamp
2026_RESULTS,West Bengal,S25,57,S25-057,SUTI,10,MD SANAUL HOQUE,Independent,1056,0,1056,0.56,2026-05-04 12:04:49
2026_RESULTS,West Bengal,S25,57,S25-057,SUTI,11,NOTA,None of the Above,1515,0,1515,0.81,2026-05-04 12:04:49
2026_RESULTS,West Bengal,S25,57,S25-057,SUTI,1,ALFAJUDDIN BISWAS,Indian National Congress,57331,0,57331,28.77,2026-05-04 12:24:16
2026_RESULTS,West Bengal,S25,57,S25-057,SUTI,2,EMANI BISWAS,All India Trinamool Congress,74518,0,74518,37.4,2026-05-04 12:24:16
2026_RESULTS,West Bengal,S25,57,S25-057,SUTI,3,MAHABIR GHOSH,Bharatiya Janata Party,58967,0,58967,29.59,2026-05-04 12:24:16
2026_RESULTS,West Bengal,S25,57,S25-057,SUTI,4,ANUP KUMAR SINGHA,Socialist Unity Centre Of India (COMMUNIST),686,0,686,0.34,2026-05-04 12:24:16
2026_RESULTS,West Bengal,S25,57,S25-057,SUTI,5,MD ZAID,All India Majlis-E-Ittehadul Muslimeen,2465,0,2465,1.24,2026-05-04 12:24:16
2026_RESULTS,West Bengal,S25,57,S25-057,SUTI,6,RAJIB CHATTERJEE,Bhartiya Lokmat Rashtrawadi Party,127,0,127,0.06,2026-05-04 12:24:16
2026_RESULTS,West Bengal,S25,57,S25-057,SUTI,7,A. K. M HASANUJJAMAN,Revolutionary Socialist Party,890,0,890,0.45,2026-05-04 12:24:16
2026_RESULTS,West Bengal,S25,57,S25-057,SUTI,8,KAUSIK DAS,Independent,376,0,376,0.19,2026-05-04 12:24:16
2026_RESULTS,West Bengal,S25,57,S25-057,SUTI,9,BADIRUL ISLAM,Independent,1187,0,1187,0.6,2026-05-04 12:24:16
2026_RESULTS,West Bengal,S25,57,S25-057,SUTI,10,MD SANAUL HOQUE,Independent,1114,0,1114,0.56,2026-05-04 12:24:16
2026_RESULTS,West Bengal,S25,57,S25-057,SUTI,11,NOTA,None of the Above,1600,0,1600,0.8,2026-05-04 12:24:16
